AuthorId,Affiliation,Name
0,Auburn University,Myoung An
1,Auburn University,Sanjeev Baskiyar
2,Auburn University,Debswapna Bhattacharya
3,Auburn University,Saad Biaz
4,Auburn University,Homer Carlisle
5,Auburn University,Kai Chang
6,Auburn University,Richard Chapman
7,Auburn University,James Cross
8,Auburn University,Jason Cuneo
9,Auburn University,Gerry Dozier
10,Auburn University,Ashish Gupta
11,Auburn University,John Hamilton
12,Auburn University,Dean Hendrix
13,Auburn University,Michael Hollingsworth
14,Auburn University,Shubhra (Santu) Karmaker
15,Auburn University,Wei-Shinn (Jeff) Ku
16,Auburn University,Xuechao Li
17,Auburn University,Alvin Lim
18,Auburn University,Bo Liu
19,Auburn University,Daniela Marghitu
20,Auburn University,Hari Narayanan
21,Auburn University,Anh Nguyen
22,Auburn University,Tung Nguyen
23,Auburn University,Xiao Qin
24,Auburn University,Rodrigo Sardinas
25,Auburn University,Cheryl Seals
26,Auburn University,David Shaffer
27,Auburn University,Shehenaz Shaik
28,Auburn University,Tao Shu
29,Auburn University,Anthony Skjellum
30,Auburn University,Alice Smith
31,Auburn University,Drew Springall
32,Auburn University,Daniel Tauritz
33,Auburn University,Jakita Thomas
34,Auburn University,Hanqin Tian
35,Auburn University,David Umphress
36,Auburn University,Mark Yampolskiy
37,Auburn University,Levent Yilmaz
38,Auburn University,Yang Zhou
39,Fordham University,Mohammad Ruhul Amin
40,Fordham University,Md Zakirul Alam Bhuiyan
41,Fordham University,Juntao Chen
42,Fordham University,Henry Han
43,Fordham University,Julie Harazduk
44,Fordham University,Thaier Hayajneh
45,Fordham University,Frank Hsu
46,Fordham University,Nikitas Kounavelis
47,Fordham University,Daniel Leeds
48,Fordham University,Yanjun Li
49,Fordham University,ZigengLiu
50,Fordham University,Damian Lyons
51,Fordham University,Ying Mao
52,Fordham University,Robert K. Moniot
53,Fordham University,Mohamed Rahouti
54,Fordham University,Tadeusz Strzemecki
55,Fordham University,Karen Trovato
56,Fordham University,Sudip Vhaduri
57,Fordham University,David S. L. Wei
58,Fordham University,Gary M. Weiss
59,Fordham University,Arthur G. Werschulz
60,Fordham University,Lawrence Wolk
61,Fordham University,Hanping Xu
62,Fordham University,Hailong Zhang
63,Fordham University,Xiaolan Zhang
64,Fordham University,Yijun Zhao
65,University of Missouri–St. Louis,Keith W. Miller
66,University of Missouri–St. Louis,Abderrahmen Mtibaa
67,University of Missouri–St. Louis,Jianli Pan
68,University of Missouri–St. Louis,Lav Gupta
69,University of Missouri–St. Louis,Mark Hauschild
70,University of Missouri–St. Louis,Cezary Z. Janikow
71,University of Missouri–St. Louis,Badri Adhikari
72,University of Missouri–St. Louis,Ismail Alqerm
73,University of Missouri–St. Louis,Sanjiv K. Bhatia
74,University of Missouri–St. Louis,Uday K. Chakraborty
75,University of Missouri–St. Louis,Ankit Chaudhary
76,University of Missouri–St. Louis,Sharlee Climer
77,Howard University,Ahmed Rubaai
78,Howard University,Michaela Amoo
79,Howard University,John M.M. Anderson
80,Howard University,Peter Bofah
81,Howard University,III Legand L. Burge
82,Howard University,Moses Garuba
83,Howard University,Tepper L. Gill
84,Howard University,Gary L. Harris
85,Howard University,Noha Hazzazi
86,Howard University,Harry Keeling
87,Howard University,Peter A. Keiller
88,Howard University,Charles Kim
89,Howard University,Jiang Li
90,Howard University,Chunmei Liu
91,Howard University,James A. Momoh
92,Howard University,Linwei Niu
93,Howard University,Danda B. Rawat
94,Howard University,Hassan Salmani
95,Howard University,Todd Shurn
96,Howard University,Gloria Washington
97,Howard University,Su Yan
98,Howard University,Saurav Aryal
99,Howard University,Jeremy Blackstone
100,Howard University,Sola Famakin
